ImageName,ImageSize,TTX,OutputReported,Seals,UnitID
"""WV03_20171122142732_10400100357EAB00_17NOV22142732-P1BS-501932169090_01_P007_u08rf3031.tif"".tif",1730,183.0898997783661,70.0,23,4487
"""WV03_20171020233455_10400100342CFB00_17OCT20233455-P1BS-501862146040_01_P008_u08rf3031.tif"".tif",1436,215.791100025177,120.0,13,4513
"""WV03_20171022030356_1040010035184800_17OCT22030356-P1BS-501862244090_01_P002_u08rf3031.tif"".tif",616,145.55630016326904,52.0,0,4833
"""WV03_20171228135651_1040010036A0BD00_17DEC28135651-P1BS-501956600060_01_P003_u08rf3031.tif"".tif",949,160.1340000629425,60.0,113,4469
"""WV03_20171118002006_10400100346CD700_17NOV18002006-P1BS-501917439100_01_P001_u08rf3031.tif"".tif",1070,141.37940001487732,52.0,25,4844
"""WV03_20170902222637_1040010033759000_17SEP02222637-P1BS-501603231080_01_P001_u08rf3031.tif"".tif",512,169.25789999961853,67.0,0,3337
"""WV03_20170917150118_1040010032523A00_17SEP17150118-P1BS-501946236030_01_P001_u08rf3031.tif"".tif",1111,138.02330017089844,48.0,14,5631
"""WV03_20171113070835_10400100331E6A00_17NOV13070835-P1BS-501896680020_01_P007_u08rf3031.tif"".tif",1357,190.27390003204346,91.0,99,5646
"""WV03_20171228122755_10400100379C1A00_17DEC28122755-P1BS-501954100080_01_P001_u08rf3031.tif"".tif",1628,295.7666001319885,194.0,14,3340
"""WV03_20171207132243_104001003600CA00_17DEC07132243-P1BS-501934399050_01_P001_u08rf3031.tif"".tif",741,164.16780018806458,58.0,0,4154
"""WV03_20171019084513_1040010033903C00_17OCT19084513-P1BS-501862028040_01_P005_u08rf3031.tif"".tif",1058,152.0,52.0,0,4123
"""WV03_20171125115942_10400100368AAB00_17NOV25115942-P1BS-501956588030_01_P007_u08rf3031.tif"".tif",908,203.705500125885,101.0,0,4059
"""WV03_20170908092637_1040010032261400_17SEP08092637-P1BS-501603139100_01_P002_u08rf3031.tif"".tif",2476,310.8052999973297,183.0,6,3247
"""WV03_20171022124705_1040010034A58200_17OCT22124705-P1BS-501920093020_01_P009_u08rf3031.tif"".tif",1147,170.96030020713806,61.0,0,5741
"""WV03_20170914155252_1040010033BB8600_17SEP14155252-P1BS-501946344100_01_P001_u08rf3031.tif"".tif",1141,141.83449983596802,52.0,15,5736
"""WV03_20171122142839_10400100354FE400_17NOV22142839-P1BS-501932119060_01_P008_u08rf3031.tif"".tif",1384,401.1836998462677,289.0,5,3230
"""WV03_20170710131429_104001002F5F3200_17JUL10131429-P1BS-501992566010_01_P001_u08rf3031.tif"".tif",733,161.0096001625061,56.0,0,4129
"""WV03_20170828094916_10400100315F5700_17AUG28094916-P1BS-501669232080_01_P005_u08rf3031.tif"".tif",731,163.43969988822937,62.0,0,4024
"""WV03_20180107051243_10400100371ABB00_18JAN07051243-P1BS-501968375010_01_P001_u08rf3031.tif"".tif",1213,149.56979990005493,53.0,24,4053
"""WV03_20171109060542_1040010034D7C000_17NOV09060542-P1BS-501920240080_01_P002_u08rf3031.tif"".tif",1719,181.85509991645813,75.0,0,3699
